[2026-07-20 16:07:38.123] [DEBUG] [Game] Game: ai2_win | moves=31 | defense=8 | winner=AI2
[2026-07-20 16:07:38.210] [DEBUG] [Game] Game: ai2_win | moves=46 | defense=10 | winner=AI2
[2026-07-20 16:07:38.233] [DEBUG] [Game] Game: ai1_win | moves=10 | defense=2 | winner=AI1
[2026-07-20 16:07:38.335] [DEBUG] [Game] Game: draw | moves=81 | defense=10 | winner=Draw
[2026-07-20 16:07:38.380] [DEBUG] [Game] Game: ai1_win | moves=18 | defense=2 | winner=AI1
[2026-07-20 16:07:38.454] [DEBUG] [Game] Game: ai1_win | moves=37 | defense=7 | winner=AI1
[2026-07-20 16:07:38.536] [DEBUG] [Game] Game: ai1_win | moves=48 | defense=10 | winner=AI1
[2026-07-20 16:07:38.577] [DEBUG] [Game] Game: ai1_win | moves=15 | defense=2 | winner=AI1
[2026-07-20 16:07:38.685] [DEBUG] [Game] Game: draw | moves=81 | defense=5 | winner=Draw
[2026-07-20 16:07:38.738] [DEBUG] [Game] Game: ai1_win | moves=23 | defense=5 | winner=AI1
[2026-07-20 16:07:38.835] [DEBUG] [Game] Game: draw | moves=81 | defense=5 | winner=Draw
[2026-07-20 16:07:38.907] [DEBUG] [Game] Game: ai2_win | moves=34 | defense=6 | winner=AI2
[2026-07-20 16:07:38.993] [DEBUG] [Game] Game: ai1_win | moves=54 | defense=20 | winner=AI1
[2026-07-20 16:07:39.097] [DEBUG] [Game] Game: draw | moves=81 | defense=10 | winner=Draw
[2026-07-20 16:07:39.158] [DEBUG] [Game] Game: ai2_win | moves=27 | defense=1 | winner=AI2
[2026-07-20 16:07:39.187] [DEBUG] [Game] Game: ai1_win | moves=11 | defense=2 | winner=AI1
[2026-07-20 16:07:39.245] [DEBUG] [Game] Game: ai2_win | moves=27 | defense=4 | winner=AI2
[2026-07-20 16:07:39.305] [DEBUG] [Game] Game: ai2_win | moves=32 | defense=10 | winner=AI2
[2026-07-20 16:07:39.405] [DEBUG] [Game] Game: draw | moves=81 | defense=13 | winner=Draw
[2026-07-20 16:07:39.476] [DEBUG] [Game] Game: ai2_win | moves=36 | defense=3 | winner=AI2
[2026-07-20 16:07:39.580] [DEBUG] [Game] Game: draw | moves=81 | defense=7 | winner=Draw
[2026-07-20 16:07:39.639] [DEBUG] [Game] Game: ai2_win | moves=24 | defense=6 | winner=AI2
[2026-07-20 16:07:39.699] [DEBUG] [Game] Game: ai2_win | moves=29 | defense=7 | winner=AI2
[2026-07-20 16:07:39.779] [DEBUG] [Game] Game: ai1_win | moves=35 | defense=3 | winner=AI1
[2026-07-20 16:07:39.801] [DEBUG] [Game] Game: ai2_win | moves=9 | defense=2 | winner=AI2
[2026-07-20 16:07:39.839] [DEBUG] [Game] Game: ai1_win | moves=15 | defense=2 | winner=AI1
[2026-07-20 16:07:39.918] [DEBUG] [Game] Game: ai2_win | moves=51 | defense=6 | winner=AI2
[2026-07-20 16:07:39.960] [DEBUG] [Game] Game: ai2_win | moves=22 | defense=6 | winner=AI2
[2026-07-20 16:07:40.038] [DEBUG] [Game] Game: ai2_win | moves=47 | defense=9 | winner=AI2
[2026-07-20 16:07:40.149] [DEBUG] [Game] Game: draw | moves=81 | defense=10 | winner=Draw
[2026-07-20 16:07:40.187] [DEBUG] [Game] Game: ai2_win | moves=15 | defense=2 | winner=AI2
[2026-07-20 16:07:40.281] [DEBUG] [Game] Game: ai1_win | moves=53 | defense=7 | winner=AI1
[2026-07-20 16:07:40.339] [DEBUG] [Game] Game: ai2_win | moves=27 | defense=5 | winner=AI2
[2026-07-20 16:07:40.387] [DEBUG] [Game] Game: ai2_win | moves=20 | defense=5 | winner=AI2
[2026-07-20 16:07:40.481] [DEBUG] [Game] Game: ai1_win | moves=50 | defense=7 | winner=AI1
[2026-07-20 16:07:40.543] [DEBUG] [Game] Game: ai2_win | moves=26 | defense=1 | winner=AI2
[2026-07-20 16:07:40.564] [DEBUG] [Game] Game: ai2_win | moves=9 | defense=2 | winner=AI2
[2026-07-20 16:07:40.658] [DEBUG] [Game] Game: ai2_win | moves=54 | defense=10 | winner=AI2
[2026-07-20 16:07:40.734] [DEBUG] [Game] Game: ai2_win | moves=37 | defense=8 | winner=AI2
[2026-07-20 16:07:40.847] [DEBUG] [Game] Game: draw | moves=81 | defense=3 | winner=Draw
[2026-07-20 16:07:40.898] [DEBUG] [Game] Game: ai1_win | moves=18 | defense=3 | winner=AI1
[2026-07-20 16:07:40.970] [DEBUG] [Game] Game: ai2_win | moves=32 | defense=5 | winner=AI2
[2026-07-20 16:07:41.056] [DEBUG] [Game] Game: ai2_win | moves=51 | defense=11 | winner=AI2
[2026-07-20 16:07:41.078] [DEBUG] [Game] Game: ai1_win | moves=9 | defense=2 | winner=AI1
[2026-07-20 16:07:41.137] [DEBUG] [Game] Game: ai1_win | moves=30 | defense=8 | winner=AI1
[2026-07-20 16:07:41.250] [DEBUG] [Game] Game: draw | moves=81 | defense=11 | winner=Draw
[2026-07-20 16:07:41.304] [DEBUG] [Game] Game: ai2_win | moves=25 | defense=6 | winner=AI2
[2026-07-20 16:07:41.387] [DEBUG] [Game] Game: ai2_win | moves=40 | defense=8 | winner=AI2
[2026-07-20 16:07:41.478] [DEBUG] [Game] Game: ai1_win | moves=44 | defense=7 | winner=AI1
[2026-07-20 16:07:41.539] [DEBUG] [Game] Game: ai1_win | moves=27 | defense=7 | winner=AI1
[2026-07-20 16:07:41.608] [DEBUG] [Game] Game: ai2_win | moves=27 | defense=2 | winner=AI2
[2026-07-20 16:07:41.716] [DEBUG] [Game] Game: draw | moves=81 | defense=9 | winner=Draw
[2026-07-20 16:07:41.803] [DEBUG] [Game] Game: ai2_win | moves=43 | defense=9 | winner=AI2
[2026-07-20 16:07:41.874] [DEBUG] [Game] Game: ai1_win | moves=37 | defense=15 | winner=AI1
[2026-07-20 16:07:41.947] [DEBUG] [Game] Game: ai2_win | moves=35 | defense=8 | winner=AI2
[2026-07-20 16:07:42.029] [DEBUG] [Game] Game: ai2_win | moves=42 | defense=5 | winner=AI2
[2026-07-20 16:07:42.137] [DEBUG] [Game] Game: draw | moves=81 | defense=13 | winner=Draw
[2026-07-20 16:07:42.165] [DEBUG] [Game] Game: ai2_win | moves=10 | defense=1 | winner=AI2
[2026-07-20 16:07:42.192] [DEBUG] [Game] Game: ai1_win | moves=12 | defense=3 | winner=AI1
[2026-07-20 16:07:42.232] [DEBUG] [Game] Game: ai1_win | moves=17 | defense=4 | winner=AI1
[2026-07-20 16:07:42.284] [DEBUG] [Game] Game: ai1_win | moves=22 | defense=1 | winner=AI1
[2026-07-20 16:07:42.375] [DEBUG] [Game] Game: ai1_win | moves=59 | defense=16 | winner=AI1
[2026-07-20 16:07:42.431] [DEBUG] [Game] Game: ai1_win | moves=22 | defense=4 | winner=AI1
[2026-07-20 16:07:42.538] [DEBUG] [Game] Game: draw | moves=81 | defense=13 | winner=Draw
[2026-07-20 16:07:42.569] [DEBUG] [Game] Game: ai1_win | moves=12 | defense=2 | winner=AI1
[2026-07-20 16:07:42.643] [DEBUG] [Game] Game: ai1_win | moves=39 | defense=11 | winner=AI1
[2026-07-20 16:07:42.749] [DEBUG] [Game] Game: draw | moves=81 | defense=8 | winner=Draw
[2026-07-20 16:07:42.802] [DEBUG] [Game] Game: ai1_win | moves=21 | defense=6 | winner=AI1
[2026-07-20 16:07:42.907] [DEBUG] [Game] Game: ai2_win | moves=69 | defense=10 | winner=AI2
[2026-07-20 16:07:42.995] [DEBUG] [Game] Game: ai1_win | moves=43 | defense=9 | winner=AI1
[2026-07-20 16:07:43.031] [DEBUG] [Game] Game: ai2_win | moves=15 | defense=3 | winner=AI2
[2026-07-20 16:07:43.138] [DEBUG] [Game] Game: draw | moves=81 | defense=11 | winner=Draw
[2026-07-20 16:07:43.220] [DEBUG] [Game] Game: ai1_win | moves=48 | defense=11 | winner=AI1
[2026-07-20 16:07:43.296] [DEBUG] [Game] Game: ai1_win | moves=43 | defense=12 | winner=AI1
[2026-07-20 16:07:43.410] [DEBUG] [Game] Game: draw | moves=81 | defense=17 | winner=Draw
[2026-07-20 16:07:43.489] [DEBUG] [Game] Game: ai2_win | moves=40 | defense=12 | winner=AI2
[2026-07-20 16:07:43.528] [DEBUG] [Game] Game: ai1_win | moves=16 | defense=3 | winner=AI1
[2026-07-20 16:07:43.628] [DEBUG] [Game] Game: draw | moves=81 | defense=19 | winner=Draw
[2026-07-20 16:07:43.673] [DEBUG] [Game] Game: ai2_win | moves=19 | defense=4 | winner=AI2
[2026-07-20 16:07:43.770] [DEBUG] [Game] Game: ai2_win | moves=52 | defense=10 | winner=AI2
[2026-07-20 16:07:43.865] [DEBUG] [Game] Game: ai2_win | moves=47 | defense=7 | winner=AI2
[2026-07-20 16:07:43.945] [DEBUG] [Game] Game: ai1_win | moves=53 | defense=7 | winner=AI1
[2026-07-20 16:07:44.048] [DEBUG] [Game] Game: draw | moves=81 | defense=9 | winner=Draw
[2026-07-20 16:07:44.113] [DEBUG] [Game] Game: ai2_win | moves=34 | defense=13 | winner=AI2
